OLD_CODE;NEW_CODE
um-rug-bl;pnevmaticheskaya_vintovka_umarex_ruger_black_hawk_magnum
um-br-gold;pnevmaticheskaya_vintovka_umarex_browning_gold
u-b-cx4-st;pnevmaticheskaya_vintovka_umarex_beretta_cx4_storm
glet_sw_b8;pnevmaticheskiy_pistolet_gletcher_sw_b8
c-525x-rec;crosman_525x_recurit_pritsel_4kh15
g-big-cat-cf-s;gamo_big_cat_cf_s
glet_sw_b6;pnevmaticheskiy_pistolet_gletcher_sw_b6
cros-ns1200;ns1200
cro-760-b;crosman_760_b
u-w-act-bl;pnevmaticheskaya_vintovka_umarex_walther_lever_action_black_dust
g-400-f;gamo_400_f
g-cfr;gamo_cfr
g-big-cat-1000;gamo_big_cat_1000
c-r-am77;crosman_remington_am77
cros-1077;crosman_1077_plastik
um-wal-lgv;pnevmaticheskaya_vintovka_umarex_walther_lgv_challenger_ultra
um--wal-lgv;pnevmaticheskaya_vintovka_umarex_walther_lgv_master
um-wa-lgv;pnevmaticheskaya_vintovka_umarex_walther_lgv_master_ultra
um-per-45;pnevmaticheskaya_vintovka_umarex_perfecta_45
u-w-lev-ac;pnevmaticheskaya_vintovka_umarex_walther_lever_action_steel_finish
c-be-sh-397;crosman_benjamin_sheridan_397
anic_101_spor;pnevmaticheskiy_pistolet_anics_101_sport
anic_a_101;pnevmaticheskiy_pistolet_anics_a_101
anic_111_spo;pnevmaticheskiy_pistolet_anics_111_sport
anic_a_101_m;pnevmaticheskiy_pistolet_anics_a_101_m
anic_a_9000_s;pnevmaticheskiy_pistolet_beretta_anics_a_9000s
anic_a_112_sp;pnevmaticheskiy_pistolet_anics_a_112_sport
anic_a_3003_b;pnevmaticheskiy_pistolet_anics_a_3003_blackbird
anic_a_3000_skif;pnevmaticheskiy_pistolet_anics_a_3000_skif
anics_a_101_w;pnevmaticheskiy_pistolet_anics_a_101_w
anic_a_101_ms;pnevmaticheskiy_pistolet_anics_a_101_m_sport
anic_a_2002_ber;pnevmaticheskiy_pistolet_anics_a_2002_berkut
anic_a_3000lb_s;pnevmaticheskiy_pistolet_anics_a_3000lb_skif
anic_a_101_wsp;pnevmaticheskiy_pistolet_anics_a_101_w_sport
anik_a_3000_ss;pnevmaticheskiy_pistolet_aniks_a_3000_s_skif
anic_a_111;pnevmaticheskiy_pistolet_anics_a_111
anic_a_112_lsp;pnevmaticheskiy_pistolet_anics_a_112_l_sport
c-1760eu;crosman_1760eu
