ID;CODE
3133;opticheskiy_pritsel_walther_2kh20_bez_regulirovki_kratnosti
3134;pnevmaticheskaya_vintovka_diana_34_classic_professional_compact
3135;opticheskiy-pritsel-gamo-3-12x40-wr
3136;opticheskiy_pritsel_gamo_3_9x50_ir_wr
3137;opticheskiy_pritsel_gamo_3_9kh32_wr
3138;opticheskiy_pritsel_gamo_3_9kh40_wr
3139;opticheskij-pricel-gamo-3-9x40-wr
3140;opticheskiy_pritsel_gamo_4kh20_tvwa
3141;opticheskiy-pritsel-gamo-4x28-tv
3142;opticheskiy_pritsel_gamo_4kh32_wr
3143;pnevmaticheskaya_vintovka_diana_350_magnum_classic_professional
3144;pnevmaticheskaya_vintovka_diana_56_th_target_hunter
3145;pnevmaticheskaya_vintovka_diana_470_th_target_hunter
3147;pnevmaticheskaya_vintovka_diana_48_black_professional
3148;pnevmaticheskaya_vintovka_diana_460_magnum
3149;pnevmaticheskaya_vintovka_diana_350_magnum_classic_professional_compact
3150;gamo_shadow_dx_combo
3151;gamo_maxima_rx
3152;gamo_black_fusion
3153;gamo_black_shadow
3154;gamo_delta_forest
3155;pnevmaticheskaya_vintovka_diana_350_magnum
3156;opticheskiy_pritsel_leupold_mark_4_1_5_5x20_mr_t_m2_spr_30_mm_s_podsvetkoy
3157;opticheskiy_pritsel_leupold_mark_4_3_5_10x40_lr_t_m1_mil_dot_s_podsvetkoy_s_bokovoy_otstroykoy_ot_pa
3158;opticheskiy_pritsel_leupold_mark_4_3_5_10x40_lr_t_m1_tmr_s_bokovoy_otstroykoy_ot_parallaksa
3159;opticheskiy_pritsel_leupold_mark_4_4_5_14x40_lr_t_target_mildot
3160;opticheskiy_pritsel_leupold_mark_4_4_5_14x50_lr_t_m1_tmr_bez_podsvetki_s_bokovoy_otstroykoy_ot_paral
3161;opticheskiy_pritsel_leupold_mark_4_4_5_14x50_lr_t_m1_tmr_s_podsvetkoy_s_bokovoy_otsroykoy_ot_paralla
3162;opticheskiy_pritsel_leupold_mark_4_4_5_14x50_lr_t_m1_mil_dot_bez_podsvetki_s_bokovoy_otstroykoy_ot_p
3163;pnevmaticheskaya_vintovka_diana_350_magnum_classic
3164;gamo_whisper_fusion
3165;gamo_black_knight
3166;gamo_black_bull
3167;opticheskiy_pritsel_leupold_fx_3_6x42mm_wide_duplex
3168;opticheskiy_pritsel_leupold_fx_ii_4x33mm_wide_duplex
3169;opticheskiy_pritsel_leupold_fx_ii_6x36mm_wide_duplex
3170;pnevmaticheskaya_vintovka_diana_45
3171;pnevmaticheskaya_vintovka_diana_46_stutzen
3172;pnevmaticheskaya_vintovka_diana_31_panther
3173;pnevmaticheskaya_vintovka_diana_460
3174;pnevmaticheskaya_vintovka_diana_48
3175;opticheskiy_pritsel_leupold_mark_4_6_5_20x50_lr_t_m1_mildot_bez_podsvetki_s_bokovoy_otstroykoy_ot_pa
3176;opticheskiy_pritsel_leupold_mark_ar_1_5_4x20mm_duplex
3177;opticheskiy_pritsel_leapers_4_16x44_30_mm_mil_dot_s_podsvetkoy_koltsa_v_komplekte
3178;opticheskiy_pritsel_leapers_5th_3_9x32_mini_mil_dot_koltsa_v_komplekte
3179;gamo_cfx_ve
